type,iteration 1,iteration 2,iteration 3,iteration 4,iteration 5,iteration 6,iteration 7,iteration 8,iteration 9,iteration 10,iteration 11,iteration 12,iteration 13,iteration 14,iteration 15,iteration 16,iteration 17,iteration 18,iteration 19,iteration 20,iteration 21,iteration 22,iteration 23,iteration 24,iteration 25,iteration 26,iteration 27,iteration 28,iteration 29,iteration 30,iteration 31,iteration 32,iteration 33,iteration 34,iteration 35,iteration 36,iteration 37,iteration 38,iteration 39,iteration 40,iteration 41,iteration 42
1 meter straighton,-87,-87,-86,-87,-87,-86,-87,-87,-83,-79,-81,-81,-85,-80,-75,-85,-80,-74,-74,-81,-86,-89,,,,,,,,,,,,,,,,,,,,
1 meter 90 degrees clockwise,-98,-94,-96,-93,-95,-93,-93,-91,-97,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 meter 180 degrees clockwise,-99,-84,-100,-91,,-99,-91,-92,-85,-91,-99,-91,-86,-85,-93,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,
2 meter  straighton,-90,-86,-86,-87,-96,-95,-93,-92,-87,-88,-90,-86,-95,-89,-98,-90,-92,-88,-89,-92,-85,-87,-88,-90,-89,-90,-90,-88,-90,-89,-90,-92,-88,-87,-91,-92,-89,-88,-90,-90,-90,-91
2 meter 90 degrees clockwise,-92,-93,-91,-91,-93,-100,-93,-92,-91,-92,-92,-93,-93,-94,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 meter 180 degrees clockwise,-100,-91,-98,-100,-100,-95,-92,-98,-91,-91,-95,-95,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 meter  straighton,-89,-84,-87,-85,-85,-87,-85,-88,-87,-86,-86,-88,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 meter 90 degrees clockwise,-96,-92,-93,,-92,-93,-94,-94,-93,-93,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 meter 180 degrees clockwise,-95,-94,-94,-94,-94,-92,-100,-94,-94,-93,-92,-96,-95,-94,-92,-93,-94,-93,-95,-99,-93,-94,-93,-95,-93,-97,-94,,,,,,,,,,,,,,,
4 meter  straighton,-99,-100,-97,-94,-94,-97,-95,-98,-96,-92,-91,-91,-82,-89,-89,-95,,,,,,,,,,,,,,,,,,,,,,,,,,
4 meter 90 degrees clockwise,-94,-95,-93,-94,-94,-93,-94,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 meter 180 degrees clockwise,-95,-95,-91,-91,-93,-92,,-91,-97,-91,-92,-92,-98,-94,-92,-94,-90,-91,-96,-95,-91,-101,-95,-95,-90,-91,-94,-93,,,,,,,,,,,,,,
